,giraffe,carrot,bird,skateboard,person,toothbrush,diningtable,chair,suitcase,backpack,train,car,cup,bear,sandwich,handbag,donut,apple,bowl,bottle,sofa,dog,bench,truck,vase,pottedplant,motorbike,bicycle,broccoli,clock,traffic light,bus,bed,wine glass,aeroplane,pizza,cake,cell phone,remote,tvmonitor,laptop,microwave,umbrella,book,toilet,sports ball,tie,cat,banana,boat,teddy bear,surfboard,spoon,knife,horse,fork,sink,tennis racket,skis,mouse,kite,scissors,keyboard,fire hydrant,elephant,snowboard,cow,sheep,frisbee,orange,refrigerator,stop sign,oven,hot dog,baseball bat,baseball glove,parking meter,zebra
vase,0,0,1,0,6,0,11,12,0,0,0,0,12,0,0,0,0,2,7,7,2,-1,0,0,0,13,0,0,0,2,0,0,1,2,0,0,3,0,0,0,0,2,0,1,1,0,-2,1,1,0,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
pottedplant,0,0,0,0,2,0,7,20,0,1,0,5,0,0,0,1,0,2,5,3,4,-1,0,1,13,0,-1,-1,0,4,1,0,1,1,0,0,0,0,0,-1,-1,5,1,4,-1,0,-2,-1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0
motorbike,0,0,0,0,29,0,0,2,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,4,0,-1,0,5,0,0,0,1,0,0,1,0,0,-1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bicycle,0,0,2,0,38,0,1,2,1,3,0,15,1,0,0,2,0,0,0,5,0,2,5,3,0,-1,5,0,0,2,2,1,0,0,0,0,2,-1,0,-1,0,0,3,0,0,0,-1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
broccoli,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clock,0,0,1,0,17,0,0,6,0,1,0,9,3,0,0,2,1,1,0,-1,1,0,1,0,2,4,0,2,0,0,1,3,0,2,0,0,0,0,1,1,0,1,1,-1,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
traffic light,0,0,1,0,28,0,0,0,3,0,1,38,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
bus,0,0,0,0,23,0,0,1,1,0,0,24,0,0,0,2,0,0,0,0,0,0,1,6,0,0,1,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bed,0,0,2,0,-20,0,1,3,-1,0,0,1,-1,0,0,1,0,0,2,1,6,10,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,10,0,0,1,12,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wine glass,0,0,0,0,-16,-1,-4,-2,0,-1,0,0,-8,0,0,0,0,0,2,-4,1,-1,0,0,2,1,0,0,0,2,0,0,1,0,0,0,2,1,1,4,-1,1,0,1,0,0,-2,0,0,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,0,0,0
